Processes: 906 total, 2 running, 904 sleeping, 3777 threads 
2026/06/18 23:30:46
Load Avg: 1.61, 2.59, 4.18 
CPU usage: 3.61% user, 13.5% sys, 83.33% idle 
SharedLibs: 1096M resident, 185M data, 317M linkedit.
MemRegions: 288673 total, 5256M resident, 549M private, 2840M shared.
PhysMem: 20G used (2435M wired, 3334M compressor), 3577M unused.
VM: 380T vsize, 6144M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 54343211/45G in, 58823274/49G out.
Disks: 24917648/473G read, 25410543/569G written.

PID    COMMAND          %CPU TIME     #TH   #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
54727  remindd          0.0  00:04.09 4     3    182    15M   0B    8048K 54727 1     sleeping *0[71]      0.00000 0.00000    501 6487      253    2763       847        136172     8318       82777      454     786      0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
54484  CallHistorySyncH 0.0  00:01.33 2     1    139    7904K 0B    2912K 54484 1     sleeping *0[62]      0.00000 0.00000    501 6312      178    2746       829        26330      6988       10791      109     3        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
52943  MTLCompilerServi 0.0  00:00.26 2     1    34     14M   0B    13M   52943 1     sleeping *0[43]      0.00000 0.00000    501 4078      117    224        290        1771       665        913        32      1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
52942  MTLCompilerServi 0.0  00:00.18 2     1    36     13M   0B    13M   52942 1     sleeping *0[29]      0.00000 0.00000    501 3858      117    204        280        1702       637        555        9       1        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
52421  com.apple.audio. 0.0  00:00.04 2     1    26     2864K 0B    2480K 52421 1     sleeping *0[2]       0.00000 0.00000    501 1193      101    151        63         517        318        126        3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
52420  VTEncoderXPCServ 0.0  14:11.44 2     1    60     8561K 0B    3056K 52420 1     sleeping *0[1609]    0.00000 0.00000    501 893435    170    10308912   5182894    7296030    24080038   7608150    3       18       0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
50164  DockHelper       0.0  00:32.08 5     3    492    426M  2288K 19M   50164 1     sleeping *0[4601]    0.00000 0.00000    501 79789     381    191839     65871      719542     528042     545799     81      3597     0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
48987  netbiosd         0.0  00:00.51 2     1    25     2496K 0B    624K  48987 1     sleeping *0[1]       0.00000 0.00000    222 2942      102    562        215        17448      1077       7134       13      12       0.0   0      0      40     _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
48831  MTLCompilerServi 0.0  00:00.06 2     1    34     8400K 0B    8000K 48831 1     sleeping *0[4]       0.00000 0.00000    501 1226      117    164        76         754        327        198        23      0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
48830  MTLCompilerServi 0.0  00:00.06 2     1    34     8336K 0B    7952K 48830 1     sleeping *0[4]       0.00000 0.00000    501 1222      117    164        76         750        326        189        18      0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
48488  PlugInLibrarySer 0.0  00:00.31 2     1    26     2096K 0B    1824K 48488 1     sleeping *0[1906]    0.00000 0.00000    501 1836      87     2077       1993       17820      4121       2700       3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
